CharacterID,Name,Real Name,ImageURL,Powers,Weaknesses,Bio
143,Mad Thinker (Marvel),Julius ,143_20070927165647_char.jpg,"The Mad Thinker has no superhuman powers. However, he is an extraordinary genius with knowledge of technology centuries beyond conventional science. He has a photographic memory and can rapidly organize and correlate vast amounts of information and perceive non-obvious patterns. He has the facilities and means to create all manner of sophisticated weaponry, androids, armor, and vehicles. |||| |||| His analytical, mathematical, and geometrical abilities are of a sophisticated order not commonly found on Earth. He is particularly adept at robotics and artificial intelligence. He has constructed his own android, The Awesome Android, and once resurrected the original Human Torch. In addition to his own achievements he has stolen much of the secret technology of Reed Richards, back in the incident when he took over the Baxter building.",,"The Mad Thinker made his debut fighting the Fantastic Four. He once attempted to take over New York City using the Baxter Building as his base and all organized crime members as his lieutenants. He trapped the Fantastic Four in the lower quarters of the building but was eventually caught, after being stopped by an unforeseen factor: the building's mailman, Willie Lumpkin. |||| |||| It seemed that his primary objective had not really been to take over the city but to manipulate organized crime into helping him get into the Baxter building so that he could indulge his intellectual avarice by stealing the technology of Reed Richards. In that sense, the Fantastic Four did not really defeat him, they only defeated his pretext. The Mad Thinker would gladly get sent to prison for a peek at the secrets of what he considered the greatest mind in the world. |||| |||| Prisons don't do well to hold the Mad Thinker and he escapes from all levels of incarceration with little difficulty. Often he doesn't even bother escaping, but simply transmits his thoughts into a robot body at one of his secret bases. He can not only do his work, but he has the perfect alibi—he's already in prison. |||| |||| The Mad Thinker became interested in the young supergroup called the New Warriors, and posed them a riddle when they first formed. In the final issue of the series, the answer to the riddle was revealed: the Mad Thinker's nephew had accidentally gained uncontrollable superpowers from his lab, killing his mother in the process. Now, the Thinker wanted them to help him. Presumably they did so using the Neoneutralizer they acquired in that adventure. |||| |||| Since then, the Mad Thinker has been seen battling She-Hulk in a prison escape attempt. However, this Mad Thinker was revealed to be merely an android duplicate of the real Mad Thinker, created for purposes as yet unknown. |||| |||| Although willing to kill heroes who get in his way, there are lines the Mad Thinker will not cross. A partnership with the Wizard was cut short after the kidnapping of the child Franklin Richards. The Wizard wished to experiment upon Franklin and learn the secret of his vast powers. The Mad Thinker, however, claimed that this had an almost certain probability of Franklin's death. When the Wizard acknowledged this but decided to continue anyway, an angry Thinker dissolved the partnership and helped lead Franklin's godfather, The Thing, to where the Wizard had the boy hostage. Currently, the Mad Thinker has himself allied with the Puppet Master, planning to strike against the Fantastic Four yet again. Told that he preferred to be called 'The Thinker', The Puppet Master asked him why he had been called 'The Mad Thinker' in the past. The reply was that he used to have 'repressed anger issues'. When the Puppet Master asks him about his anger, he replies that 'it isn't repressed any more.' He has built a device to amplify the Puppet Master's power so that they can escalate a battle between the two rival factions in the Super Hero Civil War."
48,Batman (DC)(03 - Post-Crisis),Bruce Wayne ,48_20050925072425_char.jpg,,,"Bruce Wayne is the Batman, a man with a mission, not of vengeance but a long-term plan to rid Gotham from the evil that holds it. As a philanthropist he supports charities and bodies that seek to rehabilitate criminals while as the Batman he removes those that persist in offending. Those in the suburbs and country consider him an urban legend, yet the transient criminal population of Gotham and the country know him from rumor and experience."
919,Animal Man (DC),Bernhard 'Buddy' Baker ,919_20051112031310_char.jpg,"While near any animal Buddy Baker somehow absorbs its special abilities; he can fly like a bird, swim like a fish. He can race as fast as a jaguar or hop like a kangaroo. The longer Animal Man is in the presence of an animal, the longer he retains its natural powers. |||| |||| Ability to gain the attributes of nearby animals such as flight, speed and faster healing.",,"Not far from his home, stunt man Buddy Baker watched in awe as an alien spaceship crashed to Earth. Investigating, Buddy found himself bathed in a unique radiation which altered his body forever. When animals from a nearby zoo escaped, Buddy discovered, much to his pleasure that whenever he was near any animal, he somehow absorbed its special abilities. After several short adventures, Buddy decided to fashion himself a special costume and began using the name Animal Man (or A-Man) whenever he used his powers in public. Time after time Buddy's abilities came in handy in solving one problem or another, and although he did not originally intend to use his animal-adapting powers to fight crime, he nevertheless was repeatedly drawn into battle. Buddy later married Ellen Frazier and retired his Animal-Man identity for several years, while continuing to work in the movies. Buddy and Ellen now have two children, Cliff and Maxine, and to date neither has shown any latent powers of their own. Recently, Buddy was found by a mysterious being who called himself only the Immortal Man. He once again donned his Animal-Man uniform and joined the stranger and several other semiretired adventurers in an organization called the Forgotten Heroes."
438,Doctor Fate (DC)(04 - Eric & Linda Strauss),Eric & Linda Strauss ,438_20070213185547_char.jpg,,,None entered.
3169,Captain America (Marvel)(Ultimate)(01 - S. Rogers),Steve Rogers. ,3169_20070820114704_char.jpg,,,"In the Ultimate universe, Steve Rogers is a frail volunteer who undergoes months of steroid treatment, surgery, and the Super-Soldier formula to become Captain America. Bucky is a childhood friend who follows him on his missions as a photographer rather than as a costumed sidekick. Rogers' last mission as Captain America sends him to a Nazi stronghold on the coast of Iceland to stop a prototype hydrogen bomb created using alien technology. He causes the rocket carrying the bomb to explode and falls into the freezing Arctic Ocean. Rogers falls into a state of suspended animation until Tony Stark's deep sea exploration team pulls him out of the water 57 years later. Bucky survives the war, and, thinking that Rogers had been killed in action, marries Rogers' fiancée Gail. |||| |||| The Ultimate universe Captain America is more politically and morally conservative than his mainstream Marvel universe counterpart and is more prone to violent solutions, frequently using small arms and explosives. His costume is mostly the same, except that his mask lacks the traditional wings on the side of his head and his shoulders sport American star emblems. The mask was modified into a helmet as of Ultimates 2. |||| |||| Rogers becomes one of the first members and field commander of the superhuman team the Ultimates, S.H.I.E.L.D.'s answer to post-human terrorism. He tries to adjust to life in the 21st century, although he longs for older times and values, spending much time with Bucky and Gail (now senior citizens) and going to WWII veterans' reunions. Rogers wears a Kevlar uniform and carries a shield of pure adamantium. He also dates Janet van Dyne, the Wasp, the estranged wife of former team member Henry Pym. |||| |||| A year later, it appears that Captain America repeatedly betrays the team, and S.H.I.E.L.D. places him in custody. The Black Widow is revealed as the traitor, aiding a coalition of countries invading America. When these invaders, who call themselves The Liberators appear to have defeated all American superheroes and effectively America itself, the Wasp frees him from his cell and they join the other few heroes as a resistance. After a pitched one-on-one battle with the Liberators' leader, Rogers kills him with his own weapon. |||| |||| Rogers is also a highly skilled hand-to-hand combatant. In addition, his strength and recuperative abilities are remarkable, he has been shown bicep-curling 545 lb. In the Ultimate Universe, Bruce Banner becomes the Hulk as a result of his experiments to recreate the Super-Soldier serum. Despite the Hulk being one of the strongest characters in the Ultimate Universe, Rogers takes on the Hulk in hand-to-hand combat, knocking him down momentarily. The Ultimate Six, and several heroes and villains, are the results of trying to recreate the original formula. Rogers also defeats Henry Pym in melee combat while Pym is in his almost 60-foot tall Giant Man form, in retaliation for Pym having beaten the Wasp during a domestic dispute."
79131,Booster Gold (DC)(JL3000),Michael Jon Carter ,,,,None entered.
1201,Blockbuster (DC)(01 - Mark Desmond),Mark Desmond ,1201_20081129093629_char.jpg,,,Batman villain.  Super-strong thug.
26122,"Face (DC), The (01 - Sandman villain)",,,,,None entered.
9258,Loophole,Deke Dickson ,,,,Former S.T.A.R. Labs C.P.A. Deke Dickson is an inept criminal using a Molecular disruption device to pass through matter.
760,Lasso,,760_20080528004128_char.jpg,,,Lasso was an escaped killer who uses a phony movie company filming crew to stage real robberies.  He was stopped by Hawkman.  Later Lasso joined Fadeaway Man to take down Hakwman.
